concurso,acutotal,vsaparecer,somatotal,sorteado
501,321,0,199,yes
502,322,0,163,yes
503,323,0,181,yes
504,323,1,214,no
505,323,2,212,no
506,323,3,214,no
507,324,0,180,yes
508,325,0,194,yes
509,325,1,205,no
510,326,0,180,yes
511,327,0,199,yes
512,328,0,153,yes
513,329,0,195,yes
514,329,1,201,no
515,330,0,190,yes
516,331,0,188,yes
517,331,1,162,no
518,331,2,200,no
519,332,0,217,yes
520,333,0,203,yes
521,334,0,155,yes
522,335,0,224,yes
523,336,0,193,yes
524,337,0,197,yes
525,337,1,210,no
526,338,0,177,yes
527,339,0,196,yes
528,340,0,190,yes
529,341,0,206,yes
530,341,1,184,no
531,342,0,201,yes
532,343,0,166,yes
533,344,0,191,yes
534,345,0,181,yes
535,345,1,209,no
536,345,2,220,no
537,346,0,196,yes
538,347,0,219,yes
539,348,0,168,yes
540,349,0,202,yes
541,349,1,206,no
542,350,0,172,yes
543,350,1,208,no
544,351,0,193,yes
545,351,1,194,no
546,352,0,175,yes
547,353,0,184,yes
548,354,0,157,yes
549,354,1,205,no
550,354,2,190,no
551,354,3,224,no
552,354,4,193,no
553,354,5,200,no
554,355,0,200,yes
555,356,0,187,yes
556,356,1,225,no
557,356,2,199,no
558,356,3,203,no
559,357,0,193,yes
560,358,0,219,yes
561,359,0,168,yes
562,360,0,193,yes
563,360,1,182,no
564,361,0,191,yes
565,361,1,206,no
566,361,2,172,no
567,362,0,183,yes
568,363,0,162,yes
569,364,0,210,yes
570,365,0,189,yes
571,365,1,206,no
572,366,0,201,yes
573,367,0,208,yes
574,367,1,226,no
575,367,2,212,no
576,367,3,223,no
577,368,0,179,yes
578,368,1,191,no
579,368,2,180,no
580,368,3,187,no
581,369,0,209,yes
582,369,1,211,no
583,369,2,195,no
584,370,0,186,yes
585,370,1,200,no
586,371,0,194,yes
587,371,1,190,no
588,371,2,213,no
589,372,0,202,yes
590,372,1,180,no
591,373,0,188,yes
592,373,1,183,no
593,373,2,183,no
594,374,0,192,yes
595,374,1,190,no
596,375,0,206,yes
597,376,0,185,yes
598,376,1,197,no
599,377,0,202,yes
600,377,1,193,no
601,377,2,171,no
602,378,0,172,yes
603,379,0,196,yes
604,380,0,207,yes
605,381,0,189,yes
606,382,0,205,yes
607,382,1,233,no
608,383,0,181,yes
609,384,0,188,yes
610,385,0,176,yes
611,386,0,181,yes
612,387,0,184,yes
613,388,0,203,yes
614,388,1,199,no
615,389,0,216,yes
616,390,0,217,yes
617,391,0,188,yes
618,392,0,182,yes
619,392,1,202,no
620,392,2,197,no
621,393,0,178,yes
622,394,0,153,yes
623,395,0,170,yes
624,396,0,173,yes
625,397,0,185,yes
626,398,0,167,yes
627,399,0,199,yes
628,400,0,189,yes
629,401,0,179,yes
630,402,0,208,yes
631,403,0,182,yes
632,403,1,212,no
633,404,0,210,yes
634,405,0,185,yes
635,405,1,179,no
636,406,0,189,yes
637,407,0,222,yes
638,408,0,203,yes
639,409,0,179,yes
640,409,1,199,no
641,410,0,199,yes
642,411,0,191,yes
643,412,0,196,yes
644,413,0,179,yes
645,413,1,224,no
646,413,2,206,no
647,413,3,216,no
648,414,0,194,yes
649,415,0,169,yes
650,415,1,221,no
651,415,2,199,no
652,416,0,205,yes
653,417,0,198,yes
654,418,0,212,yes
655,419,0,217,yes
656,420,0,195,yes
657,421,0,186,yes
658,421,1,192,no
659,421,2,170,no
660,421,3,184,no
661,421,4,208,no
662,422,0,166,yes
663,423,0,199,yes
664,423,1,206,no
665,424,0,219,yes
666,425,0,196,yes
667,425,1,208,no
668,426,0,205,yes
669,427,0,221,yes
670,427,1,226,no
671,427,2,196,no
672,428,0,199,yes
673,429,0,166,yes
674,430,0,230,yes
675,431,0,186,yes
676,432,0,200,yes
677,433,0,173,yes
678,434,0,213,yes
679,435,0,209,yes
680,435,1,192,no
681,436,0,168,yes
682,437,0,183,yes
683,438,0,150,yes
684,438,1,206,no
685,438,2,228,no
686,438,3,205,no
687,439,0,194,yes
688,440,0,188,yes
689,441,0,172,yes
690,442,0,196,yes
691,443,0,179,yes
692,444,0,197,yes
693,445,0,162,yes
694,445,1,195,no
695,446,0,218,yes
696,446,1,192,no
697,447,0,208,yes
698,448,0,187,yes
699,449,0,201,yes
700,450,0,191,yes
701,450,1,227,no
702,451,0,150,yes
703,452,0,235,yes
704,453,0,189,yes
705,453,1,193,no
706,454,0,194,yes
707,454,1,203,no
708,455,0,182,yes
709,455,1,195,no
710,456,0,222,yes
711,457,0,176,yes
712,457,1,225,no
713,458,0,207,yes
714,458,1,188,no
715,458,2,212,no
716,458,3,199,no
717,459,0,183,yes
718,459,1,227,no
719,460,0,222,yes
720,460,1,230,no
721,461,0,141,yes
722,461,1,186,no
723,462,0,162,yes
724,462,1,202,no
725,462,2,199,no
726,463,0,192,yes
727,463,1,217,no
728,463,2,208,no
729,464,0,170,yes
730,464,1,218,no
731,464,2,201,no
732,464,3,222,no
733,464,4,187,no
734,465,0,208,yes
735,465,1,227,no
736,466,0,171,yes
737,467,0,169,yes
738,468,0,219,yes
739,469,0,213,yes
740,469,1,213,no
741,470,0,198,yes
742,470,1,175,no
743,471,0,190,yes
744,471,1,173,no
745,471,2,194,no
746,472,0,201,yes
747,473,0,173,yes
748,473,1,172,no
749,474,0,167,yes
750,475,0,188,yes
751,475,1,208,no
752,475,2,193,no
753,475,3,177,no
754,475,4,229,no
755,476,0,168,yes
756,476,1,204,no
757,476,2,187,no
758,477,0,199,yes
759,478,0,218,yes
760,479,0,188,yes
761,479,1,192,no
762,480,0,153,yes
763,481,0,193,yes
764,481,1,192,no
765,482,0,189,yes
766,482,1,189,no
767,482,2,181,no
768,482,3,208,no
769,482,4,210,no
770,482,5,194,no
771,483,0,188,yes
772,484,0,192,yes
773,485,0,203,yes
774,485,1,172,no
775,486,0,174,yes
776,487,0,196,yes
777,488,0,214,yes
778,489,0,204,yes
779,489,1,214,no
780,489,2,222,no
781,490,0,193,yes
782,490,1,208,no
783,491,0,190,yes
784,492,0,197,yes
785,493,0,177,yes
786,494,0,196,yes
787,494,1,182,no
788,494,2,208,no
