concurso,acutotal,vsaparecer,somatotal,sorteado
715,449,0,212,yes
716,450,0,199,yes
717,451,0,183,yes
718,451,1,227,no
719,451,2,222,no
720,451,3,230,no
721,452,0,141,yes
722,453,0,186,yes
723,453,1,162,no
724,454,0,202,yes
725,455,0,199,yes
726,456,0,192,yes
727,456,1,217,no
728,456,2,208,no
729,457,0,170,yes
730,458,0,218,yes
731,458,1,201,no
732,459,0,222,yes
733,460,0,187,yes
734,460,1,208,no
735,460,2,227,no
736,460,3,171,no
737,460,4,169,no
738,460,5,219,no
739,460,6,213,no
740,461,0,213,yes
741,461,1,198,no
742,462,0,175,yes
743,463,0,190,yes
744,464,0,173,yes
745,465,0,194,yes
746,465,1,201,no
747,466,0,173,yes
748,467,0,172,yes
749,468,0,167,yes
750,468,1,188,no
751,468,2,208,no
752,469,0,193,yes
753,470,0,177,yes
754,471,0,229,yes
755,472,0,168,yes
756,472,1,204,no
757,473,0,187,yes
758,474,0,199,yes
759,474,1,218,no
760,475,0,188,yes
761,476,0,192,yes
762,477,0,153,yes
763,478,0,193,yes
764,479,0,192,yes
765,480,0,189,yes
766,481,0,189,yes
767,482,0,181,yes
768,483,0,208,yes
769,483,1,210,no
770,484,0,194,yes
771,484,1,188,no
772,484,2,192,no
773,484,3,203,no
774,485,0,172,yes
775,485,1,174,no
776,486,0,196,yes
777,486,1,214,no
778,486,2,204,no
779,486,3,214,no
780,486,4,222,no
781,487,0,193,yes
782,487,1,208,no
783,488,0,190,yes
784,489,0,197,yes
785,490,0,177,yes
786,490,1,196,no
787,491,0,182,yes
788,492,0,208,yes
789,492,1,199,no
790,492,2,226,no
791,493,0,171,yes
792,494,0,191,yes
793,494,1,204,no
794,495,0,170,yes
795,496,0,159,yes
796,496,1,181,no
797,496,2,201,no
798,497,0,194,yes
799,497,1,224,no
800,497,2,186,no
801,498,0,186,yes
802,499,0,185,yes
803,500,0,234,yes
804,501,0,185,yes
805,502,0,191,yes
806,503,0,175,yes
807,503,1,192,no
808,503,2,227,no
809,504,0,209,yes
810,505,0,205,yes
811,506,0,151,yes
812,507,0,216,yes
813,508,0,184,yes
814,508,1,221,no
815,508,2,241,no
816,508,3,188,no
817,509,0,183,yes
818,509,1,220,no
819,509,2,175,no
820,510,0,164,yes
821,510,1,201,no
822,510,2,222,no
823,511,0,197,yes
824,511,1,212,no
825,512,0,200,yes
826,512,1,226,no
827,513,0,177,yes
828,514,0,222,yes
829,514,1,214,no
830,515,0,200,yes
831,516,0,181,yes
832,516,1,205,no
833,516,2,203,no
834,516,3,204,no
835,517,0,202,yes
836,517,1,203,no
837,518,0,194,yes
838,518,1,199,no
839,518,2,201,no
840,518,3,222,no
841,519,0,185,yes
842,519,1,206,no
843,519,2,212,no
844,520,0,193,yes
845,520,1,224,no
846,521,0,215,yes
847,522,0,180,yes
848,522,1,217,no
849,523,0,217,yes
850,523,1,209,no
851,524,0,195,yes
852,525,0,193,yes
853,525,1,196,no
854,526,0,178,yes
855,527,0,195,yes
856,527,1,205,no
857,528,0,193,yes
858,529,0,185,yes
859,530,0,152,yes
860,530,1,192,no
861,531,0,163,yes
862,532,0,188,yes
863,533,0,215,yes
864,533,1,227,no
865,534,0,197,yes
866,535,0,168,yes
